,City,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Lat,Lon,Country,Date
0,nampula,78.75,53,40,9.22,-15.1165,39.2666,MZ,1651674304
1,albany,51.64,91,100,1.99,42.6001,-73.9662,US,1651674194
2,chokurdakh,11.57,94,100,3.09,70.6333,147.9167,RU,1651674305
3,port augusta,54,63,19,12.71,-32.5,137.7667,AU,1651674305
4,komsomolskiy,72.32,60,75,9.22,40.4272,71.7189,UZ,1651673834
5,punta arenas,41.11,87,75,9.22,-53.15,-70.9167,CL,1651674306
6,tabuk,75.9,90,100,1.43,17.4189,121.4443,PH,1651674306
7,isangel,76.73,81,0,3.33,-19.55,169.2667,VU,1651673833
8,halifax,58.51,72,75,11.5,44.6453,-63.5724,CA,1651674054
9,mataura,44.47,94,4,2.48,-46.1927,168.8643,NZ,1651674307
10,yulara,58.84,58,0,11.5,-25.2406,130.9889,AU,1651673789
11,hermanus,73.8,66,15,7.96,-34.4187,19.2345,ZA,1651674308
12,ushuaia,42.42,70,40,16.11,-54.8,-68.3,AR,1651673625
13,boguchany,31.69,84,8,4.14,58.3814,97.4531,RU,1651674308
14,puerto escondido,81.43,83,40,0,15.85,-97.0667,MX,1651673738
15,kaitangata,50.41,88,69,3.56,-46.2817,169.8464,NZ,1651673808
16,zbarazh,55.11,60,75,10.87,49.6636,25.7762,UA,1651674309
17,neuquen,58.89,55,0,6.91,-38.9516,-68.0591,AR,1651674310
18,carnarvon,69.87,73,12,8.05,-24.8667,113.6333,AU,1651674310
19,hobart,48.06,87,87,5.75,-42.8794,147.3294,AU,1651674095
20,east london,72.54,78,0,5.75,-33.0153,27.9116,ZA,1651673845
21,dourbali,105.8,19,7,0.98,11.8091,15.8632,TD,1651674311
22,richards bay,74.68,70,0,11.36,-28.783,32.0377,ZA,1651673840
23,fort-shevchenko,62.55,51,7,16.75,44.5086,50.263,KZ,1651673930
24,ginda,65.8,53,99,5.88,30.6945,78.4932,IN,1651673847
25,tasiilaq,28.56,70,99,9.66,65.6145,-37.6368,GL,1651673722
26,arraial do cabo,87.66,55,20,12.66,-22.9661,-42.0278,BR,1651673747
27,suntar,29.05,93,77,4.56,62.1444,117.6319,RU,1651674312
28,lasa,57.69,97,100,4.63,46.6166,10.7002,IT,1651673905
29,luena,72.19,60,100,4.45,-11.7833,19.9167,AO,1651674313
30,atlantic city,58.01,92,100,0,39.3643,-74.4229,US,1651674265
31,aldergrove,46.89,95,100,4.61,49.058,-122.4709,CA,1651674283
32,mar del plata,59.95,60,0,15.01,-38.0023,-57.5575,AR,1651674314
33,comodoro rivadavia,60.66,51,0,20.71,-45.8667,-67.5,AR,1651674314
34,kenai,36.14,94,75,5.75,60.5544,-151.2583,US,1651674315
35,atuona,78.6,74,77,17.4,-9.8,-139.0333,PF,1651674315
36,cidreira,67.87,87,98,18.92,-30.1811,-50.2056,BR,1651674316
37,hasaki,55.8,75,100,10.69,35.7333,140.8333,JP,1651673745
38,lata,78.08,36,2,9.48,40.1629,-8.3327,PT,1651674316
39,cam ranh,78.76,83,40,17.27,11.9214,109.1591,VN,1651674317
40,gemena,83.71,61,100,1.34,3.25,19.7667,CD,1651674317
41,qaanaaq,21.6,74,21,3.8,77.484,-69.3632,GL,1651674317
42,valkeala,50.31,31,0,6.91,60.9401,26.7979,FI,1651674318
43,tiksi,4.66,94,19,4.52,71.6872,128.8694,RU,1651674318
44,kahului,73.85,84,100,12.66,20.8947,-156.47,US,1651674319
45,lagoa,62.49,83,100,9.04,39.05,-27.9833,PT,1651673762
46,grindavik,39.15,60,75,6.91,63.8424,-22.4338,IS,1651673817
47,uige,84.15,49,50,6.58,-7.6087,15.0613,AO,1651673923
48,mnogovershinnyy,28.44,89,54,5.57,53.9353,139.9242,RU,1651674320
49,bogorodskoye,43.29,49,82,13.91,56.55,37.8833,RU,1651674320
50,akyab,84.31,63,3,3.76,20.15,92.9,MM,1651674321
51,paamiut,27.59,69,6,12.57,61.994,-49.6678,GL,1651673887
52,codrington,48.61,74,19,10.4,-38.2667,141.9667,AU,1651673749
53,yellowknife,36.12,93,100,17.27,62.456,-114.3525,CA,1651674322
54,san rafael,68.13,23,35,10.02,-34.6177,-68.3301,AR,1651674271
55,aklavik,23,80,100,10.36,68.2191,-135.0107,CA,1651673748
56,busselton,53.83,65,0,13.89,-33.65,115.3333,AU,1651674322
57,cabo san lucas,73.62,65,29,3,22.8909,-109.9124,MX,1651674204
58,maryborough,68.11,97,9,3.27,-25.5333,152.7,AU,1651674323
59,ust-kulom,42.28,61,49,8.34,61.6864,53.6902,RU,1651674324
60,vestmannaeyjar,41.99,60,0,17.27,63.4427,-20.2734,IS,1651673667
61,namibe,85.08,52,0,11.54,-15.1961,12.1522,AO,1651674324
62,naron,67.55,61,8,15.86,43.5167,-8.1528,ES,1651674148
63,mahibadhoo,84.16,68,100,16.96,3.7833,72.9667,MV,1651674325
64,vaini,73.56,88,20,4.61,-21.2,-175.2,TO,1651673772
65,rikitea,77.68,80,77,20.02,-23.1203,-134.9692,PF,1651674326
66,kapaa,71.92,92,100,16.11,22.0752,-159.319,US,1651674326
67,barrow,15.82,86,100,13.8,71.2906,-156.7887,US,1651673761
68,batemans bay,63.1,93,83,4.52,-35.7167,150.1833,AU,1651674327
69,maumere,80.91,80,42,7.27,-8.6199,122.2111,ID,1651674327
70,kruisfontein,70.88,68,2,9.31,-34.0033,24.7314,ZA,1651674328
71,kattivakkam,89.69,86,54,9.37,13.2167,80.3167,IN,1651673850
72,bethel,51.51,93,100,5.17,41.3712,-73.414,US,1651673747
73,luderitz,73.96,49,5,5.66,-26.6481,15.1594,NA,1651673780
74,bluff,44.8,85,1,6.46,-46.6,168.3333,NZ,1651674329
75,urdoma,38.12,68,100,8.93,61.7533,48.5442,RU,1651674329
76,kodiak,42.31,81,100,4.61,57.79,-152.4072,US,1651673734
77,port shepstone,72.28,77,7,14.54,-30.7414,30.455,ZA,1651674330
78,seoul,58.57,47,0,3.44,37.5683,126.9778,KR,1651673668
79,manzanillo,82.15,56,9,3.53,20.3433,-77.1167,CU,1651674330
80,pacific grove,51.91,91,0,11.01,36.6177,-121.9166,US,1651674120
81,ribeira grande,64.8,82,40,9.22,38.5167,-28.7,PT,1651673741
82,berlevag,24.6,63,100,19.69,70.8578,29.0864,NO,1651673808
83,faya,75.72,31,54,4.9,18.3851,42.4509,SA,1651673764
84,iqaluit,8.33,66,20,21.85,63.7506,-68.5145,CA,1651673744
85,zhanaozen,71.67,24,100,3.38,43.3,52.8,KZ,1651674332
86,birao,99.99,25,92,7.61,10.2849,22.7882,CF,1651674332
87,sola,82,74,100,7.02,-13.8833,167.55,VU,1651674333
88,hilo,73.27,95,100,3,19.7297,-155.09,US,1651673746
89,antofagasta,61.88,63,19,1.9,-23.65,-70.4,CL,1651674152
90,spencer,50.52,74,75,0,43.1414,-95.1444,US,1651674333
91,boende,90.03,50,83,1.34,-0.2167,20.8667,CD,1651673792
92,puerto ayora,75.16,82,52,6.87,-0.7393,-90.3518,EC,1651674334
93,muros,71.69,47,15,14.97,42.7762,-9.0603,ES,1651674334
94,porto nacional,86,52,38,3.71,-10.7081,-48.4172,BR,1651674335
95,salym,56.3,40,25,11.5,60.0625,71.4789,RU,1651674335
96,nanortalik,32.58,85,76,11.56,60.1432,-45.2371,GL,1651673842
97,cayenne,82.44,78,75,4.61,4.9333,-52.3333,GF,1651673910
98,dukat,13.14,97,71,4.7,62.55,155.55,RU,1651674336
99,santa cecilia,51.48,97,78,6.6,-26.9608,-50.4269,BR,1651674337
100,saint-philippe,72.99,85,49,14.41,-21.3585,55.7679,RE,1651674337
101,avarua,75.25,100,75,2.3,-21.2078,-159.775,CK,1651674202
102,srednekolymsk,29.12,99,100,0.22,67.45,153.6833,RU,1651674338
103,constitucion,58.69,67,100,3.04,-35.3333,-72.4167,CL,1651673899
104,thompson,21.36,86,100,9.22,55.7435,-97.8558,CA,1651673753
105,longyearbyen,17.44,62,20,3.44,78.2186,15.6401,SJ,1651674338
106,tiarei,77.02,80,99,13.58,-17.5333,-149.3333,PF,1651674339
107,erzin,68.23,73,25,10.6,36.9559,36.2,TR,1651673774
108,saskylakh,21.7,94,100,6.13,71.9167,114.0833,RU,1651674339
109,katsuura,63.57,76,97,17.36,35.1333,140.3,JP,1651674340
110,cherskiy,31.35,99,100,5.26,68.75,161.3,RU,1651674340
111,raymond,49.08,90,100,3.42,43.9015,-70.4703,US,1651674341
112,castro,56.34,73,57,11.25,-24.7911,-50.0119,BR,1651674341
113,vakhrushev,33.44,92,37,0.94,48.9833,142.9667,RU,1651674342
114,new norfolk,47.7,75,53,2.1,-42.7826,147.0587,AU,1651674342
115,karratha,83.17,46,8,6.31,-20.7377,116.8463,AU,1651674342
116,santa flavia,72.77,45,10,8.01,38.085,13.5351,IT,1651674343
117,malazgirt,60.98,57,86,6.33,39.1427,42.5401,TR,1651674343
118,vila velha,89.55,61,0,12.66,-20.3297,-40.2925,BR,1651673820
119,kerewan,99.59,16,41,7.63,13.4898,-16.0888,GM,1651674344
120,ambilobe,79.3,77,89,2.24,-13.2,49.05,MG,1651674344
121,black river,85.23,57,3,9.42,18.0264,-77.8487,JM,1651674345
122,kribi,78.89,85,100,5.08,2.95,9.9167,CM,1651673889
123,san andres,84.22,79,40,13.8,12.5847,-81.7006,CO,1651674345
124,tazovskiy,33.26,98,100,17.6,67.4667,78.7,RU,1651674346
125,ust-nera,17.35,93,89,2.42,64.5667,143.2,RU,1651674346
126,san carlos,89.35,47,99,5.21,9.6612,-68.5827,VE,1651673838
127,takoradi,85.62,67,75,10.29,4.8845,-1.7554,GH,1651673786
128,torbay,42.89,90,100,11.5,47.6666,-52.7314,CA,1651673807
129,severo-kurilsk,34.18,89,100,5.03,50.6789,156.125,RU,1651673769
130,norman wells,39.24,75,100,5.75,65.282,-126.8329,CA,1651673810
131,melville,53.98,86,100,3.44,40.7934,-73.4151,US,1651674347
132,shimoda,62.1,83,96,12.53,34.6667,138.95,JP,1651674348
133,montego bay,85.78,74,75,16.11,18.4712,-77.9188,JM,1651674348
134,alofi,75.09,78,8,5.75,-19.0595,-169.9187,NU,1651673924
135,kencong,77.52,91,100,2.08,-8.2833,113.3667,ID,1651674349
136,port alfred,72.18,79,0,1.01,-33.5906,26.891,ZA,1651674349
137,carutapera,85.28,67,20,5.48,-1.195,-46.02,BR,1651674350
138,guerrero negro,57.78,78,0,10.02,27.9769,-114.0611,MX,1651673856
139,bredasdorp,71.51,61,15,9.04,-34.5322,20.0403,ZA,1651673775
140,linxia,64.26,25,2,6.24,35.6003,103.2064,CN,1651673801
141,enumclaw,46.81,95,99,0.69,47.2043,-121.9915,US,1651674350
142,felipe carrillo puerto,79.97,87,98,5.12,19.5833,-88.05,MX,1651674351
143,saldanha,63.3,78,76,7.65,-33.0117,17.9442,ZA,1651673751
144,leningradskiy,3.29,96,66,6.22,69.3833,178.4167,RU,1651674352
145,dikson,11.34,83,88,11.99,73.5069,80.5464,RU,1651674352
146,vao,75.25,75,2,12.06,-22.6667,167.4833,NC,1651674353
147,huaiyuan,68.2,41,0,8.68,32.973,117.1995,CN,1651674353
148,newport,65.77,75,91,12.33,51.5877,-2.9984,GB,1651673712
149,ambon,80.74,89,40,3.44,-3.6954,128.1814,ID,1651674354
150,ponta do sol,71.01,62,46,2.19,32.6667,-17.1,PT,1651674354
151,marzuq,88.32,23,38,15.73,14.4,46.4667,YE,1651674355
152,tautira,81.46,76,99,12.8,-17.7333,-149.15,PF,1651673826
153,dingle,79.36,78,77,7.11,10.9995,122.6711,PH,1651674355
154,nanakuli,72.1,78,0,4.61,21.3906,-158.1547,US,1651674356
155,calvinia,81.07,15,4,13.11,-31.4707,19.776,ZA,1651674357
156,padang,78.85,84,100,4.54,-0.9492,100.3543,ID,1651673790
157,porto santo,64.78,68,75,17.27,33.072,-16.3415,PT,1651674357
158,micheweni,81.09,75,46,14.97,-4.9667,39.8333,TZ,1651674358
159,tomatlan,75.16,50,41,2.33,19.9333,-105.25,MX,1651674358
160,bontang,79.16,88,100,5.14,0.1333,117.5,ID,1651673827
161,ancud,54.5,98,100,10.56,-41.8697,-73.8203,CL,1651673787
162,sorland,37.26,81,100,16.11,67.667,12.6934,NO,1651674359
163,san patricio,82.83,76,24,17.74,28.017,-97.5169,US,1651673866
164,moranbah,71.94,75,83,9.01,-22.0016,148.0466,AU,1651674359
165,desna,54.54,35,12,15.79,50.9273,30.7605,UA,1651674360
166,grand gaube,79.38,72,7,8.99,-20.0064,57.6608,MU,1651673768
167,mahebourg,79.25,78,75,12.66,-20.4081,57.7,MU,1651673791
168,evans,79,58,0,4.61,33.5337,-82.1307,US,1651674361
169,caravelas,85.77,53,0,8.41,-17.7125,-39.2481,BR,1651674361
170,gedo,76.41,24,99,5.79,9.0167,37.45,ET,1651674362
171,airai,59.76,92,56,3.24,-8.9266,125.4092,TL,1651674362
172,nikolskoye,44.49,47,77,10.87,59.7035,30.7861,RU,1651673773
173,khani,49.57,95,100,4.27,41.9563,42.9566,GE,1651674363
174,cairns,73.35,93,5,3.44,-16.9167,145.7667,AU,1651674322
175,motala,58.32,52,100,7.78,58.5371,15.0365,SE,1651674363
176,hami,84.11,17,43,11.07,42.8,93.45,CN,1651674364
177,butaritari,80.33,80,49,10.87,3.0707,172.7902,KI,1651674364
178,adrar,96.12,11,6,5.77,20.5022,-10.0711,MR,1651673863
179,sitka,42.69,75,100,11.5,57.0531,-135.33,US,1651674213
180,port blair,83.52,76,100,9.22,11.6667,92.75,IN,1651674365
181,pandan,79.39,84,90,7.49,14.0453,124.1694,PH,1651674366
182,souillac,79.18,78,75,12.66,-20.5167,57.5167,MU,1651673821
183,narsaq,39.42,57,19,4,60.9167,-46.05,GL,1651673860
184,salalah,87.89,74,0,5.75,17.0151,54.0924,OM,1651673821
185,itacarambi,91.72,27,0,4.34,-15.1022,-44.0919,BR,1651674366
186,coquimbo,51.53,100,100,3.44,-29.9533,-71.3436,CL,1651674367
187,arkhangelskoye,43.16,44,100,13.27,55.8549,35.3287,RU,1651674367
188,ahipara,59.56,90,31,7.36,-35.1667,173.1667,NZ,1651673878
189,saint-paul,75.36,77,35,2.1,-21.0096,55.2707,RE,1651674368
190,clyde river,19.63,68,100,3.44,70.4692,-68.5914,CA,1651674369
191,kysyl-syr,30.15,95,100,4.59,63.8986,122.7617,RU,1651674369
192,krasnokamensk,53.76,17,100,11.95,50.0979,118.0369,RU,1651674370
193,lorengau,82.06,79,88,2.64,-2.0226,147.2712,PG,1651674370
194,kitzbuhel,66.74,56,99,2.28,47.4464,12.3922,AT,1651674371
195,namatanai,80.38,82,87,7.07,-3.6667,152.4333,PG,1651673859
196,billings,50.5,83,20,6.91,45.7833,-108.5007,US,1651674101
197,oshakati,81.5,22,0,8.48,-17.7833,15.6833,NA,1651674371
198,luau,77.59,58,76,2.57,-10.7073,22.2247,AO,1651674372
199,saint-augustin,42.28,73,100,8.84,51.226,-58.6502,CA,1651673891
200,saint george,56.62,37,0,4.61,37.1041,-113.5841,US,1651674179
201,nchelenge,78.48,59,56,2.48,-9.3451,28.734,ZM,1651674372
202,jamestown,49.64,95,100,13.8,42.097,-79.2353,US,1651674161
203,bengkulu,76.24,89,100,4.72,-3.8004,102.2655,ID,1651674373
204,progreso,83.1,73,3,10.4,21.2833,-89.6667,MX,1651674373
205,okhotsk,31.57,91,78,10.22,59.3833,143.3,RU,1651674374
206,port elizabeth,73.09,78,20,6.91,-33.918,25.5701,ZA,1651674374
207,hof,64.31,57,40,8.99,50.3167,11.9167,DE,1651674375
208,tombouctou,103.23,7,100,7.99,20,-3,ML,1651674375
209,piacabucu,84.36,67,50,10.38,-10.4056,-36.4344,BR,1651674376
210,uray,57.06,42,100,15.55,60.1247,64.7758,RU,1651674376
211,uruacu,88.57,40,1,2.95,-14.5247,-49.1408,BR,1651674377
212,makakilo city,70.68,80,0,10.36,21.3469,-158.0858,US,1651674377
213,cape town,72.27,71,0,11.5,-33.9258,18.4232,ZA,1651674360
214,el alto,71.26,65,62,12.53,-4.2714,-81.2147,PE,1651674378
215,port hedland,80.65,34,56,10.36,-20.3167,118.5667,AU,1651673790
216,lebu,56.46,81,100,14.12,-37.6167,-73.65,CL,1651674378
217,marsh harbour,77.79,77,100,9.28,26.5412,-77.0636,BS,1651674379
218,novyye lyady,42.04,64,100,13.98,58.0536,56.6039,RU,1651674379
219,rameswaram,85.71,80,100,22.84,9.2833,79.3,IN,1651674380
220,salinopolis,80.24,82,81,1.43,-0.6136,-47.3561,BR,1651674380
221,redmond,49.05,86,100,0.96,47.674,-122.1215,US,1651674141
222,lubango,73.42,34,9,5.19,-14.9172,13.4925,AO,1651674381
223,winnemucca,39.25,70,0,6.91,40.973,-117.7357,US,1651674253
224,cap malheureux,78.48,74,7,7,-19.9842,57.6142,MU,1651674381
225,buala,79.93,72,6,3.96,-8.145,159.5921,SB,1651673929
226,goderich,50.32,81,100,12.66,43.7501,-81.7165,CA,1651674283
227,songkhla,77.05,93,100,0.92,6.8333,100.6667,TH,1651674382
228,beni mazar,85.32,18,5,14.97,28.4962,30.8029,EG,1651674383
229,tukrah,67.89,50,0,9.19,32.5341,20.5791,LY,1651673886
230,klaksvik,47.32,93,46,29.17,62.2266,-6.589,FO,1651673800
231,upernavik,9.39,92,81,5.53,72.7868,-56.1549,GL,1651674383
232,northam,59.67,82,64,11.21,51.0333,-4.2167,GB,1651674273
233,dossor,66.49,21,52,12.75,47.5272,52.9811,KZ,1651674384
234,geraldton,64.81,48,35,8.05,-28.7667,114.6,AU,1651673788
235,chateaubelair,81.12,74,75,16.11,13.2833,-61.25,VC,1651674384
236,pevek,6.17,91,99,4.72,69.7008,170.3133,RU,1651673855
237,khatanga,19.85,96,100,4.54,71.9667,102.5,RU,1651673829
238,bangassou,89.78,50,95,0.85,4.7413,22.8184,CF,1651674385
239,biak,78.19,84,100,1.77,-0.9131,122.8766,ID,1651674386
240,kisaran,76.84,94,100,0.94,2.9845,99.6158,ID,1651674386
241,lazaro cardenas,78.53,68,100,3.67,17.9583,-102.2,MX,1651674386
242,margate,56.7,81,100,3,51.3813,1.3862,GB,1651673899
243,makaha,72.05,77,100,3.44,21.4694,-158.2175,US,1651674387
244,san jose,59.22,70,20,1.99,37.3394,-121.895,US,1651674364
245,sioux lookout,41.07,56,40,6.91,50.1001,-91.917,CA,1651673714
246,swan hill,49.62,65,9,7.2,-35.3378,143.5544,AU,1651674388
247,alice springs,65.75,45,40,11.5,-23.7,133.8833,AU,1651674207
248,singleton,61.99,88,94,1.01,-32.5667,151.1833,AU,1651674388
249,byron bay,64.94,89,17,6.08,-28.65,153.6167,AU,1651674389
250,victoria,79.18,77,13,10,22.2855,114.1577,HK,1651674167
251,cosala,73.22,33,5,0.56,24.4125,-106.6908,MX,1651674389
252,husavik,34.72,78,91,4.56,66.0449,-17.3389,IS,1651674390
253,honningsvag,29.95,74,75,12.66,70.9821,25.9704,NO,1651674390
254,kualakapuas,76.15,96,100,1.68,-3.0091,114.3876,ID,1651674391
255,sibu,77.31,94,40,2.3,2.3,111.8167,MY,1651673869
256,boffa,95.5,40,64,10.56,10.1667,-14.0333,GN,1651674391
257,nome,24.87,75,0,0,64.5011,-165.4064,US,1651674392
258,tsabong,77.02,28,0,3.24,-26.0217,22.401,BW,1651674392
259,alberton,50.13,67,100,11.99,46.8168,-64.0654,CA,1651674393
260,mayo,62.4,94,100,9.22,38.8876,-76.5119,US,1651673921
261,srinagar,56.1,88,100,4.99,34.0833,74.8167,IN,1651674393
262,nova praha,60.17,64,100,13.62,48.5682,32.9027,UA,1651674394
263,tyumentsevo,50.88,30,100,9.55,53.3224,81.498,RU,1651674394
264,houston,81.25,78,100,13.8,29.7633,-95.3633,US,1651673597
265,pocoes,83.39,43,3,5.08,-14.5297,-40.3653,BR,1651674358
266,rorvik,44.71,49,0,10.36,64.8621,11.2373,NO,1651674395
267,zonguldak,49.05,87,99,4.14,41.25,31.8333,TR,1651674396
268,esso,24.51,93,83,3.58,55.9333,158.7,RU,1651674396
269,arinos,91.38,27,0,3.44,-15.9169,-46.1056,BR,1651674396
270,zaraza,90.27,44,68,7.29,9.3503,-65.3245,VE,1651674397
271,uyar,36.72,64,11,4.03,55.81,94.3153,RU,1651674397
272,praia,81.14,54,20,21.85,14.9215,-23.5087,CV,1651674398
273,ochamchira,61.02,68,95,6.87,42.7121,41.4721,GE,1651674398
274,ornes,36.55,78,100,1.54,66.8689,13.7078,NO,1651674399
275,samarai,81.14,81,15,6.64,-10.6167,150.6667,PG,1651674399
276,uthal,85.69,55,0,12.1,25.8072,66.6219,PK,1651674400
277,dinhata,82.22,58,0,5.28,26.1333,89.4667,IN,1651674363
278,hobbs,70.81,85,0,8.05,32.7026,-103.136,US,1651674400
279,avera,77.56,65,100,5.86,33.194,-82.5271,US,1651674401
280,praia da vitoria,66.76,88,75,12.75,38.7333,-27.0667,PT,1651674401
281,parana,65.57,68,0,5.01,-31.732,-60.5238,AR,1651674401
282,chuy,66.11,68,29,7.47,-33.6971,-53.4616,UY,1651674402
283,pangnirtung,10.4,85,75,6.91,66.1451,-65.7125,CA,1651674402
284,moa,82.81,74,14,11.07,20.6569,-74.9403,CU,1651674403
285,kasganj,99.05,17,43,10.16,27.8167,78.65,IN,1651674403
286,bucerias,74.98,83,0,3.44,20.75,-105.3333,MX,1651674390
287,beidao,59.86,71,21,6.17,34.5686,105.8933,CN,1651674404
288,coahuayana,79.05,31,83,1.59,18.7333,-103.6833,MX,1651674404
289,poco verde,85.71,54,76,7.94,-10.7083,-38.1833,BR,1651674405
290,acapulco,76.82,73,100,5.75,16.8634,-99.8901,MX,1651674405
291,poso,78.87,89,100,4.29,-1.3959,120.7524,ID,1651673931
292,ponta delgada,65.12,72,40,9.22,37.7333,-25.6667,PT,1651674406
293,altamont,43.79,86,20,1.99,42.2068,-121.7372,US,1651674305
294,ntcheu,66.96,69,95,3.56,-14.8203,34.6359,MW,1651674407
